{'loss': 0.6404, 'learning_rate': 3.4173819742489275e-05, 'epoch': 1.38}                                                                                                                                        
{'loss': 1.0908, 'learning_rate': 3.3905579399141636e-05, 'epoch': 1.4}                                                                                                                                         
{'loss': 1.2963, 'learning_rate': 3.363733905579399e-05, 'epoch': 1.41}                                                                                                                                         
{'loss': 1.5167, 'learning_rate': 3.336909871244636e-05, 'epoch': 1.42}                                                                                                                                         
{'loss': 1.617, 'learning_rate': 3.310085836909871e-05, 'epoch': 1.43}                                                                                                                                          
{'loss': 1.4786, 'learning_rate': 3.283261802575107e-05, 'epoch': 1.45}                                                                                                                                         
{'loss': 1.2277, 'learning_rate': 3.2564377682403434e-05, 'epoch': 1.46}                                                                                                                                        
{'loss': 0.7044, 'learning_rate': 3.2296137339055795e-05, 'epoch': 1.47}                                                                                                                                        
{'loss': 0.8694, 'learning_rate': 3.2027896995708156e-05, 'epoch': 1.48}                                                                                                                                        
{'loss': 0.7322, 'learning_rate': 3.175965665236052e-05, 'epoch': 1.5}                                                                                                                                          
{'loss': 0.8786, 'learning_rate': 3.149141630901288e-05, 'epoch': 1.51}                                                                                                                                         
{'loss': 0.6565, 'learning_rate': 3.122317596566524e-05, 'epoch': 1.52}                                                                                                                                         
{'loss': 0.918, 'learning_rate': 3.09549356223176e-05, 'epoch': 1.54}                                                                                                                                           
{'loss': 1.8113, 'learning_rate': 3.0686695278969954e-05, 'epoch': 1.55}                                                                                                                                        
{'loss': 0.6395, 'learning_rate': 3.0418454935622322e-05, 'epoch': 1.56}                                                                                                                                        
{'loss': 1.1661, 'learning_rate': 3.015021459227468e-05, 'epoch': 1.57}                                                                                                                                         
{'loss': 1.4139, 'learning_rate': 2.988197424892704e-05, 'epoch': 1.59}                                                                                                                                         
{'loss': 0.7626, 'learning_rate': 2.9613733905579398e-05, 'epoch': 1.6}                                                                                                                                         
{'loss': 1.3042, 'learning_rate': 2.9345493562231762e-05, 'epoch': 1.61}                                                                                                                                        
{'loss': 0.9713, 'learning_rate': 2.907725321888412e-05, 'epoch': 1.62}                                                                                                                                         
{'loss': 0.6385, 'learning_rate': 2.8809012875536484e-05, 'epoch': 1.64}                                                                                                                                        
{'loss': 1.0747, 'learning_rate': 2.8540772532188842e-05, 'epoch': 1.65}                                                                                                                                        
{'loss': 1.5632, 'learning_rate': 2.8272532188841206e-05, 'epoch': 1.66}                                                                                                                                        
{'loss': 0.9802, 'learning_rate': 2.8004291845493564e-05, 'epoch': 1.68}                                                                                                                                        
{'loss': 1.504, 'learning_rate': 2.7736051502145925e-05, 'epoch': 1.69}                                                                                                                                         
{'loss': 1.082, 'learning_rate': 2.7467811158798286e-05, 'epoch': 1.7}                                                                                                                                          
{'loss': 0.9993, 'learning_rate': 2.7199570815450644e-05, 'epoch': 1.71}                                                                                                                                        
{'loss': 1.7197, 'learning_rate': 2.6931330472103005e-05, 'epoch': 1.73}                                                                                                                                        
{'loss': 0.8755, 'learning_rate': 2.6663090128755362e-05, 'epoch': 1.74}                                                                                                                                        
{'loss': 1.1024, 'learning_rate': 2.6394849785407727e-05, 'epoch': 1.75}                                                                                                                                        
{'loss': 0.791, 'learning_rate': 2.6126609442060084e-05, 'epoch': 1.76}                                                                                                                                         
{'loss': 0.5202, 'learning_rate': 2.585836909871245e-05, 'epoch': 1.78}                                                                                                                                         
{'loss': 1.0748, 'learning_rate': 2.5590128755364806e-05, 'epoch': 1.79}                                                                                                                                        
{'loss': 0.7589, 'learning_rate': 2.532188841201717e-05, 'epoch': 1.8}                                                                                                                                          
{'loss': 0.6151, 'learning_rate': 2.505364806866953e-05, 'epoch': 1.81}                                                                                                                                         
{'loss': 0.7269, 'learning_rate': 2.478540772532189e-05, 'epoch': 1.83}                                                                                                                                         
{'loss': 1.1064, 'learning_rate': 2.451716738197425e-05, 'epoch': 1.84}                                                                                                                                         
{'loss': 1.1243, 'learning_rate': 2.4248927038626608e-05, 'epoch': 1.85}                                                                                                                                        
{'loss': 1.0369, 'learning_rate': 2.398068669527897e-05, 'epoch': 1.87}                                                                                                                                         
{'loss': 0.8969, 'learning_rate': 2.371244635193133e-05, 'epoch': 1.88}                                                                                                                                         
{'loss': 0.7584, 'learning_rate': 2.344420600858369e-05, 'epoch': 1.89}                                                                                                                                         
{'loss': 0.675, 'learning_rate': 2.3175965665236052e-05, 'epoch': 1.9}                                                                                                                                          
{'loss': 0.9633, 'learning_rate': 2.2907725321888413e-05, 'epoch': 1.92}                                                                                                                                        
{'loss': 1.0104, 'learning_rate': 2.2639484978540774e-05, 'epoch': 1.93}                                                                                                                                        
{'loss': 0.7323, 'learning_rate': 2.2371244635193135e-05, 'epoch': 1.94}                                                                                                                                        
{'loss': 0.7773, 'learning_rate': 2.2103004291845496e-05, 'epoch': 1.95}                                                                                                                                        
{'loss': 0.7795, 'learning_rate': 2.1834763948497854e-05, 'epoch': 1.97}                                                                                                                                        
{'loss': 0.7145, 'learning_rate': 2.1566523605150215e-05, 'epoch': 1.98}                                                                                                                                        
{'loss': 0.805, 'learning_rate': 2.1298283261802576e-05, 'epoch': 1.99}                                                                                                                                         
{'eval_loss': 0.6868491172790527, 'eval_accuracy': 0.5736040609137056, 'eval_runtime': 16.1437, 'eval_samples_per_second': 12.203, 'eval_steps_per_second': 12.203, 'epoch': 2.0}                               
{'loss': 0.6806, 'learning_rate': 2.1030042918454937e-05, 'epoch': 2.01}                                                                                                                                        
{'loss': 0.7277, 'learning_rate': 2.0761802575107298e-05, 'epoch': 2.02}
{'loss': 0.6739, 'learning_rate': 2.049356223175966e-05, 'epoch': 2.03}                                                                                                                                         
{'loss': 0.6224, 'learning_rate': 2.022532188841202e-05, 'epoch': 2.04}                                                                                                                                         
{'loss': 0.7892, 'learning_rate': 1.995708154506438e-05, 'epoch': 2.06}                                                                                                                                         
{'loss': 0.9083, 'learning_rate': 1.968884120171674e-05, 'epoch': 2.07}                                                                                                                                         
{'loss': 0.7519, 'learning_rate': 1.94206008583691e-05, 'epoch': 2.08}                                                                                                                                          
{'loss': 1.0076, 'learning_rate': 1.915236051502146e-05, 'epoch': 2.09}                                                                                                                                         
{'loss': 0.6437, 'learning_rate': 1.888412017167382e-05, 'epoch': 2.11}                                                                                                                                         
{'loss': 0.7444, 'learning_rate': 1.861587982832618e-05, 'epoch': 2.12}                                                                                                                                         
{'loss': 0.8594, 'learning_rate': 1.834763948497854e-05, 'epoch': 2.13}                                                                                                                                         
{'loss': 0.7637, 'learning_rate': 1.80793991416309e-05, 'epoch': 2.14}                                                                                                                                          
{'loss': 0.76, 'learning_rate': 1.7811158798283262e-05, 'epoch': 2.16}                                                                                                                                          
{'loss': 0.6835, 'learning_rate': 1.7542918454935623e-05, 'epoch': 2.17}                                                                                                                                        
{'loss': 0.6681, 'learning_rate': 1.7274678111587984e-05, 'epoch': 2.18}                                                                                                                                        
{'loss': 0.9679, 'learning_rate': 1.7006437768240345e-05, 'epoch': 2.2}                                                                                                                                         
{'loss': 0.6883, 'learning_rate': 1.6738197424892706e-05, 'epoch': 2.21}                                                                                                                                        
{'loss': 0.6802, 'learning_rate': 1.6469957081545064e-05, 'epoch': 2.22}                                                                                                                                        
{'loss': 0.6883, 'learning_rate': 1.6201716738197425e-05, 'epoch': 2.23}                                                                                                                                        
{'loss': 0.7514, 'learning_rate': 1.5933476394849786e-05, 'epoch': 2.25}                                                                                                                                        
{'loss': 0.7108, 'learning_rate': 1.5665236051502147e-05, 'epoch': 2.26}                                                                                                                                        
{'loss': 0.6842, 'learning_rate': 1.5396995708154508e-05, 'epoch': 2.27}                                                                                                                                        
{'loss': 0.6877, 'learning_rate': 1.5128755364806869e-05, 'epoch': 2.28}                                                                                                                                        
{'loss': 0.7346, 'learning_rate': 1.486051502145923e-05, 'epoch': 2.3}                                                                                                                                          
{'loss': 0.695, 'learning_rate': 1.4592274678111589e-05, 'epoch': 2.31}                                                                                                                                         
{'loss': 0.7039, 'learning_rate': 1.432403433476395e-05, 'epoch': 2.32}                                                                                                                                         
{'loss': 0.7162, 'learning_rate': 1.405579399141631e-05, 'epoch': 2.34}                                                                                                                                         
{'loss': 0.6898, 'learning_rate': 1.3787553648068672e-05, 'epoch': 2.35}                                                                                                                                        
{'loss': 0.7269, 'learning_rate': 1.3519313304721031e-05, 'epoch': 2.36}                                                                                                                                        
{'loss': 0.6981, 'learning_rate': 1.3251072961373392e-05, 'epoch': 2.37}                                                                                                                                        
{'loss': 0.6932, 'learning_rate': 1.298283261802575e-05, 'epoch': 2.39}                                                                                                                                         
{'loss': 0.6869, 'learning_rate': 1.271459227467811e-05, 'epoch': 2.4}                                                                                                                                          
{'loss': 0.6781, 'learning_rate': 1.2446351931330473e-05, 'epoch': 2.41}                                                                                                                                        
{'loss': 0.6859, 'learning_rate': 1.2178111587982834e-05, 'epoch': 2.42}                                                                                                                                        
{'loss': 0.7263, 'learning_rate': 1.1909871244635194e-05, 'epoch': 2.44}                                                                                                                                        
{'loss': 0.7069, 'learning_rate': 1.1641630901287553e-05, 'epoch': 2.45}                                                                                                                                        
{'loss': 0.6947, 'learning_rate': 1.1373390557939914e-05, 'epoch': 2.46}                                                                                                                                        
{'loss': 0.6764, 'learning_rate': 1.1105150214592275e-05, 'epoch': 2.47}                                                                                                                                        
{'loss': 0.6783, 'learning_rate': 1.0836909871244636e-05, 'epoch': 2.49}                                                                                                                                        
{'loss': 0.6879, 'learning_rate': 1.0568669527896995e-05, 'epoch': 2.5}                                                                                                                                         
{'loss': 0.6551, 'learning_rate': 1.0300429184549356e-05, 'epoch': 2.51}                                                                                                                                        
{'loss': 0.7477, 'learning_rate': 1.0032188841201717e-05, 'epoch': 2.53}                                                                                                                                        
